mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.1882287999997061,,0.10484469999937573,0.1882287999997061,0.1882287999997061,0.1882287999997061,0.1882287999997061,0.1882287999997061,0.1882287999997061,0.1882287999997061,0.1996370000015304,1.4185485999987577,[530.0],[-4.0],[1],[0],[0],[1.2182558000004065],['option3Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,1.4340311999985715,,1.4198720999993384,1.4340311999985715,1.4340311999985715,1.4340311999985715,1.4340311999985715,1.4340311999985715,1.4340311999985715,1.4340311999985715,0.2146535000010772,3.5039769999984856,[489.0],[-23.0],[1],[0],[0],[1.8693072000005486],['option3Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,3.5602634999995644,,3.505237199999101,3.5602634999995644,3.5602634999995644,3.5602634999995644,3.5602634999995644,3.5602634999995644,3.5602634999995644,3.5602634999995644,0.21451100000012957,4.421362199998839,[-430.0],[-6.0],[1],[0],[0],[0.7014985999994678],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,4.4707358999985445,,4.422500199998467,4.4707358999985445,4.4707358999985445,4.4707358999985445,4.4707358999985445,4.4707358999985445,4.4707358999985445,4.4707358999985445,0.2142058999997971,6.690096599999379,[-496.0],[9.0],[1],[0],[0],[2.053180800001428],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.691094799998609,6.734056399998735,1.0141727999998693,47.13497719999941,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.25395690000005,47.25671819999843,4.669999907491729e-05,53.24018889999934,[219.0],[-9.0],[1],[0],[0],[5.98581330000161],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
0,excited,,,,,,,,,,videos\1 excited\3 general\ratatChaseScene.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,53.25547839999854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.76490589999958,127.77679639999951,128.77791660000003,128.77791660000003,129.77821139999833,129.77821139999833,130.88521919999948,130.76343729999826,56.22554189999937,56.36286149999978,0.060732399999324116,0.060732399999324116,1.1184534000003623,124.92512319999878,[],[],[],[],[],[],125.03704939999989,125.06904099999883,0.012722500001473236,1.0217592000008153,127.76437019999867,5.0,2.7028597999997146,130.76345069999843,0.06167490000007092,0.20733500000096683,1.1152867000000697,192.8587308999995,[],[],[],[],[],[],919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,192.96744209999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.65957849999904,258.6728930999998,259.6736334999987,259.6736334999987,260.67492719999973,260.67492719999973,261.94357509999827,261.659357999999,195.96079009999994,196.22973439999987,0.22089729999970587,0.22089729999970587,1.2633403999989241,256.18810269999994,[],[],[],[],[],[],256.2929211999999,256.31254009999975,0.008382800000617863,1.0125071999991633,258.6594247999983,4.0,2.345393999999942,261.65937139999915,0.2253632000010839,0.2253632000010839,1.2666679000012664,323.75450529999944,[],[],[],[],[],[],919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,323.86096559999896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.24488479999854,397.25824099999954,398.2592947999983,398.2592947999983,399.25998159999835,399.25998159999835,400.5219143999984,400.24412479999955,326.8570486999997,327.15454599999975,0.25111740000102145,0.25111740000102145,1.2828602000008686,395.1069075999985,[],[],[],[],[],[],395.2136204999988,395.2323731999986,0.007992599999852246,1.0104689999989205,397.2447293999994,2.0,2.0103975999991235,400.244143599999,0.23440689999915776,0.23440689999915776,1.266395000000557,462.33971009999914,[],[],[],[],[],[],919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\3 general\asmr.mkv,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,462.4558735999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.9921231999997,530.0060142999992,531.0071059999991,531.0071059999991,532.0071779999998,532.0071779999998,533.2630284999996,532.9919517999988,465.44701499999974,465.7548739999984,0.2572091999991244,0.2572091999991244,1.2897096999986388,526.0032271,[],[],[],[],[],[],526.1175543999998,526.1352764999992,0.006891900000482565,1.0026730000008683,529.9919699999991,3.0,3.853307200000927,532.9919640999997,0.22880009999971662,0.22880009999971662,1.2667277000000468,595.1208566999994,[],[],[],[],[],[],919513,001,Hispanic,male,26,2024-04-01_12h55.53.657,emotionRecognition,2023.2.3,60.01590421497938,2024-04-01 12h56.15.054082 -0400,
