mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.2529952000004414,,0.1228679000014381,0.2529952000004414,0.2529952000004414,0.2529952000004414,0.2529952000004414,0.2529952000004414,0.2529952000004414,0.2529952000004414,0.24289170000156446,6.742127100000289,[17.0],[-9.0],[1],[0],[0],[6.498505600000499],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,6.755129500001203,,6.743370700000014,6.755129500001203,6.755129500001203,6.755129500001203,6.755129500001203,6.755129500001203,6.755129500001203,6.755129500001203,0.2121327000004385,31.72465210000155,[14.0],[-308.0],[1],[0],[0],[24.768967400001202],['option2Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,31.799165500000527,,31.72576090000075,31.799165500000527,31.799165500000527,31.799165500000527,31.799165500000527,31.799165500000527,31.799165500000527,31.799165500000527,0.21487429999979213,34.35980110000128,[-530.0],[-14.0],[1],[0],[0],[2.4190959999996267],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,34.429979900000035,,34.36081220000051,34.429979900000035,34.429979900000035,34.429979900000035,34.429979900000035,34.429979900000035,34.429979900000035,34.429979900000035,0.21498799999972107,37.745913000000655,[-555.0],[-41.0],[1],[0],[0],[3.1697825999999623],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7467699000008,37.76166740000008,1.0153467999989516,78.17470110000068,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.285379500001,78.28815949999989,5.6599999879836105e-05,80.79361410000092,[168.0],[-107.0],[1],[0],[0],[2.5078001000001677],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
0,excited,,,,,,,,,,videos\1 excited\2 sports\NBA.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,80.80955880000147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.62014360000103,158.63350850000097,159.63425980000102,159.63425980000102,160.63495010000042,160.63495010000042,161.7396417,161.6194759000009,83.77894470000138,83.93261940000048,0.09201059999941208,0.09201059999941208,1.1355674999995244,153.94709130000047,[],[],[],[],[],[],154.0539735000002,154.0793134000014,0.011391199999707169,1.0101811999993515,158.6199145999999,4.0,4.54477130000123,161.6194957000007,0.07473180000124557,0.1991163000002416,1.1163755000015954,223.59840460000123,[],[],[],[],[],[],665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,223.70524860000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.9004607000006,290.9140899000013,291.9148406000004,291.9148406000004,292.9156937000007,292.9156937000007,294.20460190000085,293.90046840000105,226.7007235000001,226.98281980000138,0.23607179999999062,0.23607179999999062,1.2653996000008192,287.0616484000002,[],[],[],[],[],[],287.17937190000157,287.19974490000095,0.008149400000547757,1.0162070999995194,290.9003085000004,5.0,3.6998146999994788,293.90049250000084,0.2626027000005706,0.2626027000005706,1.3001613000014913,356.19591970000147,[],[],[],[],[],[],665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,356.30329490000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.35500150000007,433.3688376000009,434.36957840000105,434.36957840000105,435.3704725000007,435.3704725000007,359.58831629999986,436.35577880000164,359.29810720000023,359.58831629999986,0.24510680000093998,0.24510680000093998,1.2814096000001882,427.5483755000005,[],[],[],[],[],[],427.65120690000003,427.6723466000003,0.010090699999636854,1.0142955999999685,433.3548326,4.0,5.682834000001094,436.35579020000114,0.2436887999992905,0.2436887999992905,1.2690012999992177,498.5339503000014,[],[],[],[],[],[],665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\2 nature\waterfall.mp4,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,498.64223480000146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.6205433000014,566.6337733,567.6355711000015,567.6355711000015,568.6350622000009,568.6350622000009,569.9235986000003,569.6200827000011,501.63634770000135,501.9952417000004,0.3074280999990151,0.3074280999990151,1.3484665999985737,562.3642051000006,[],[],[],[],[],[],562.4806380000009,562.4985383000003,0.007384700000329758,1.0005952999999863,566.6203841000006,4.0,4.117948799999795,569.6200944000011,0.260706900000514,0.260706900000514,1.299536900000021,631.8154276000005,[],[],[],[],[],[],665252,001,African American,Female,22,2024-04-09_13h02.22.801,emotionRecognition,2023.2.3,60.013923230536406,2024-04-09 13h10.24.852972 -0400,
