mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.1998230000000376,,0.10455540000003793,0.1998230000000376,0.1998230000000376,0.1998230000000376,0.1998230000000376,0.1998230000000376,0.1998230000000376,0.1998230000000376,0.19966300000004367,11.1657826,[536.0],[-301.0],[1],[0],[0],[10.965423299999998],['option3Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,11.18121450000001,,11.16739640000003,11.18121450000001,11.18121450000001,11.18121450000001,11.18121450000001,11.18121450000001,11.18121450000001,11.18121450000001,0.2141619000000219,12.684319200000004,[536.0],[-301.0],[1],[0],[0],[1.3025528000000008],['option3Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,15.396534000000031,,12.685603200000003,15.396534000000031,15.396534000000031,15.396534000000031,15.396534000000031,15.396534000000031,15.396534000000031,15.396534000000031,2.690684000000033,18.320720300000005,[-576.0],[-291.0],[1],[0],[0],[2.944020500000022],['option1Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,18.370415200000025,,18.321843,18.370415200000025,18.370415200000025,18.370415200000025,18.370415200000025,18.370415200000025,18.370415200000025,18.370415200000025,0.21488959999999224,22.623995100000002,[-547.0],[-306.0],[1],[0],[0],[4.08709570000002],['option1Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.62505490000001,22.661146700000018,1.015282099999979,63.13636150000002,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.25146120000005,63.254314400000055,5.69000000041342e-05,66.38947230000002,[-94.0],[-98.0],[1],[0],[0],[3.137468399999989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
0,excited,,,,,,,,,,videos\1 excited\3 general\ratatChaseScene.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,66.40536120000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2638774,142.27736010000007,143.2783281,143.2783281,144.27929740000008,144.27929740000008,69.51444850000001,145.26830940000008,69.37472220000001,69.51444850000001,0.06201829999997699,0.06201829999997699,1.1184852999999748,138.0747525,[],[],[],[],[],[],138.19039220000008,138.21740119999998,0.01147800000001098,1.0181281000000126,142.26362970000008,4.0,4.052116299999966,145.26832210000003,0.07805650000000242,0.2221266999999898,1.1333729000000403,207.34239730000007,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,207.4513642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.911098,274.9248525,275.92577190000003,275.92577190000003,276.93117060000003,276.91455060000004,278.1916173,277.89809310000004,210.44506510000002,210.72235440000003,0.23005029999990256,0.23005029999990256,1.2633522999999514,270.6392367,[],[],[],[],[],[],270.7537908,270.77279530000004,0.008017900000027112,1.0020331000000624,274.91094090000007,4.0,4.1368942999999945,277.8981055,0.22102940000002036,0.22102940000002036,1.2669134000000213,339.95697780000006,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,340.07402670000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.4349096,420.4486874,421.4494746,421.4494746,422.4501435,422.4501435,423.7408916,423.4346377,343.0640292,343.3874263000001,0.2582367999999633,0.2582367999999633,1.3049876999999697,411.2921134,[],[],[],[],[],[],411.4025978,411.4251238,0.010874700000044868,1.0065759000000298,420.43474010000006,1.0,9.010894000000008,423.43465080000004,0.24772680000000946,0.24772680000000946,1.3001125999999203,485.7134679,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\3 general\asmr.mkv,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,485.8276017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.4501045,554.4637518,555.4645737000001,555.4645737000001,556.4652265,556.4652265,557.7437328999999,557.4499513000001,488.8158368,489.1169750000001,0.25978009999994356,0.25978009999994356,1.274929899999961,549.1936395,[],[],[],[],[],[],549.3039691000001,549.3217242999999,0.00705649999997604,1.006570199999942,554.4498791999999,3.0,5.124652200000014,557.4499639000001,0.23698830000000726,0.23698830000000726,1.283502799999951,619.6786571999999,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
4,sad,,,,,,,,,,videos\5 sad\1 animals\saddogs.mp4,neutral_videos\5BlowingLeafs.mp4,,,,,0,4,4,4,619.7956337999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.6327082,689.6462434,690.6469061999999,690.6469061999999,691.6478958,691.6478958,623.0735308999999,692.6372936999999,622.7810658000001,623.0735308999999,0.2371103000000403,0.2371103000000403,1.2720401999999922,685.9439614,[],[],[],[],[],[],686.0627791,686.0841390999999,0.007010700000137149,1.014953500000047,689.6325494999999,5.0,3.548994700000094,692.6373108999999,0.24618129999998928,0.24618129999998928,1.3002096000000165,754.6778431999999,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
5,horror,,,,,,,,,,videos\6 horror\conjuring.mp4,neutral_videos\6BlowingLeafs.mp4,,,,,0,5,5,5,754.7889058999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.0326009999999,826.0465669999999,827.0474119999999,827.0474119999999,828.0496123,828.0329047,829.3290479,829.0161671999999,757.7860149999999,758.1240585999999,0.2735655000001316,0.2735655000001316,1.3278483999999935,822.6777795,[],[],[],[],[],[],822.7945659,822.8116218999999,0.006553299999950468,1.0008904999999686,826.0324476000001,4.0,3.2167250999998487,829.0161796,0.24123970000005102,0.24123970000005102,1.2837231999999403,891.1947653,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
6,disgusted,,,,,,,,,,videos\7 disgusted\trainspotting.mp4,neutral_videos\7BlowingLeafs.mp4,,,,,0,6,6,6,891.3154170999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.6530123,961.6634847999999,962.6636899999999,962.6636899999999,963.66443,963.66443,964.9657964999999,964.6489859000001,894.2980428999999,894.5971685,0.22488750000002256,0.22488750000002256,1.2684805000001234,954.5415292999999,[],[],[],[],[],[],954.6492028,954.6668969,0.006925900000169349,1.0091890000001058,961.6528590999999,4.0,6.982770500000015,964.6489982,0.25339069999995445,0.25339069999995445,1.296520499999815,1026.6943157,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
7,angry,,,,,,,,,,videos\8 angry\1 animals\angrydogs.mp4,neutral_videos\8BlowingLeafs.mp4,,,,,0,7,7,7,1026.8135951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.7697359,1102.7834211,1103.7844081,1103.7844081,1104.7850362,1104.7850362,1106.0605639999999,1105.7695038,1029.7970275999999,1030.115542,0.24501069999996616,0.24501069999996616,1.3029421999999613,1095.3114417,[],[],[],[],[],[],1095.4234645,1095.440627,0.006723299999976007,1.0050002000000404,1102.769582,5.0,7.324996800000008,1105.769517,0.23294179999993503,0.23294179999993503,1.2832796999998664,1111.5399438,[],[],[],[],[],[],222299,001,,,,2024-04-04_12h57.54.466,emotionRecognition,2023.2.3,59.987318680823336,2024-04-04 12h58.26.008746 -0400,
