mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,One.stopped,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.22197739999990063,,0.11208589999989726,0.22197739999990063,0.22197739999990063,0.22197739999990063,0.22197739999990063,0.22197739999990063,0.22197739999990063,0.22197739999990063,0.2018186999999898,15.00967449999996,[30.0],[-44.0],[1],[0],[0],[14.807052999999996],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,15.025212399999987,,15.011059099999898,15.025212399999987,15.025212399999987,15.025212399999987,15.025212399999987,15.025212399999987,15.025212399999987,15.025212399999987,0.21452750000003107,20.163826599999993,[40.0],[-95.0],[1],[0],[0],[4.938038499999948],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,20.21317099999999,,20.16495299999997,20.21317099999999,20.21317099999999,20.21317099999999,20.21317099999999,20.21317099999999,20.21317099999999,20.21317099999999,0.2144806000000017,24.450657399999955,[-629.0],[-14.0],[1],[0],[0],[4.070646300000021],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,24.503626199999985,,24.45172339999999,24.503626199999985,24.503626199999985,24.503626199999985,24.503626199999985,24.503626199999985,24.503626199999985,24.503626199999985,0.21435280000002876,26.8687999,[-517.0],[-12.0],[1],[0],[0],[2.2025188999999727],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.86974889999999,26.884782799999925,1.0149611000000505,67.39766850000001,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.50640929999997,67.50931989999992,5.069999997431296e-05,69.83293509999999,[-52.0],[-80.0],[1],[0],[0],[2.326087799999982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
0,excited,,,,,,,,,,videos\1 excited\2 sports\NBA.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,69.84882259999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.75339689999998,147.75587959999996,148.7570632999999,148.7570632999999,149.75756809999996,149.75756809999996,150.7420123999999,72.83442559999992,72.98083699999995,0.10265279999998711,0.10265279999998711,1.1357169999999996,143.15355639999996,[],[],[],[],[],[],143.2720850999999,143.30924959999993,0.01796779999995124,1.0314299000000346,147.75313199999994,4.0,4.457492099999968,150.86786929999994,150.74202619999994,0.06782959999998184,0.20502169999997477,1.1057262999999011,212.6208026999999,[],[],[],[],[],[],541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,212.73447599999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.55993479999995,284.5734573,285.5744884999999,285.5744884999999,286.5749116999999,286.5749116999999,287.5600584,215.72311389999993,216.02027099999998,0.24182340000004388,0.24182340000004388,1.2754840999999715,275.9006955,[],[],[],[],[],[],276.0168933,276.03576109999995,0.008093699999903947,1.0175405999999612,284.55977899999993,5.0,8.521891200000027,287.83051049999995,287.56007049999994,0.22789420000003702,0.22789420000003702,1.2668770000000222,349.8216625,[],[],[],[],[],[],541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,349.93230399999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.05343630000004,435.0671822999999,436.06807330000004,436.06807330000004,437.06881910000004,437.06881910000004,438.0532749,352.9243338,353.25432119999994,0.2633203999999978,0.2633203999999978,1.3115666999999576,420.9906895999999,[],[],[],[],[],[],421.1015395999999,421.12229160000004,0.010054000000081942,1.0062178000000586,435.0532829,2.0,13.930458999999928,438.34720329999993,438.05328769999994,0.2505323000000317,0.2505323000000317,1.2837242999999035,500.1655628,[],[],[],[],[],[],541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\2 nature\waterfall.mp4,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,500.28120379999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.9222282,573.9359188,574.9366435999999,574.9366435999999,575.937335,575.937335,576.9217932999999,503.2678677,503.6043544999999,0.27524170000015147,0.27524170000015147,1.3232250000000931,564.0456782,[],[],[],[],[],[],564.1558887,564.1756747000001,0.006583700000192039,1.0069067000001723,573.9220735,5.0,9.745615699999917,577.2343070999999,576.9218046,0.25383959999999206,0.25383959999999206,1.300244799999973,639.1007842999999,[],[],[],[],[],[],541414,001,White,Female,20,2024-04-02_12h59.44.403,emotionRecognition,2023.2.3,59.82707582005916,2024-04-02 13h00.26.304322 -0400,
