mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.19705550000071526,,0.0068692999993800186,0.19705550000071526,0.19705550000071526,0.19705550000071526,0.19705550000071526,0.19705550000071526,0.19705550000071526,0.19705550000071526,0.21027499999945576,13.30091689999972,[-502.0],[-13.0],[1],[0],[0],[13.08991960000094],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,13.316237200000614,,13.302344100000482,13.316237200000614,13.316237200000614,13.316237200000614,13.316237200000614,13.316237200000614,13.316237200000614,13.316237200000614,0.2148600999989867,18.22082969999974,[14.0],[-304.0],[1],[0],[0],[4.703450299999531],['option2Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,18.26669100000072,,18.222217099999398,18.26669100000072,18.26669100000072,18.26669100000072,18.26669100000072,18.26669100000072,18.26669100000072,18.26669100000072,0.21418719999928726,21.507336399999986,[-524.0],[-36.0],[1],[0],[0],[3.070778999999675],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,21.558473200000662,,21.508341999999175,21.558473200000662,21.558473200000662,21.558473200000662,21.558473200000662,21.558473200000662,21.558473200000662,21.558473200000662,0.2140337000000727,24.141459899999973,[-455.0],[-5.0],[1],[0],[0],[2.418877699999939],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.14235809999991,24.158312900000965,1.0156439000002138,64.53753340000003,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.64803700000084,64.65080940000007,5.62999994144775e-05,69.09045530000003,[-179.0],[-20.0],[1],[0],[0],[4.441974899998968],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
0,excited,,,,,,,,,,videos\1 excited\1 motorsports\kenMiles.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,69.10644259999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.46641810000074,146.47992010000053,147.48075790000075,147.48075790000075,148.4816336999993,148.4816336999993,149.5833328000008,149.46605920000002,72.07575700000052,72.24092449999989,0.09614560000045458,0.09614560000045458,1.135889799999859,140.50940489999994,[],[],[],[],[],[],140.6200057999995,140.64536950000002,0.01093369999944116,1.0235470999996323,146.46618780000063,4.0,5.8251258000000234,149.4660715000009,0.07350799999949231,0.19954320000033476,1.0999229999997624,211.4616831000003,[],[],[],[],[],[],192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,211.5814547000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.2975748000008,279.3109105000003,280.3118145999997,280.3118145999997,281.3124021000003,281.3124021000003,282.5949421000005,282.2974200999997,214.56412850000015,214.8678729000003,0.24499160000050324,0.24499160000050324,1.2857846999995672,274.9582859000002,[],[],[],[],[],[],275.0640724999994,275.08333069999935,0.00798690000010538,1.0124435000016092,279.29741470000045,4.0,4.212112399998659,282.29743469999994,0.2554792000009911,0.2554792000009911,1.2832156000004034,344.4091953999996,[],[],[],[],[],[],192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,344.5295494000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.4530171000006,422.4659695999999,423.4667628999996,423.4667628999996,424.4675661000001,424.4675661000001,425.7474708000009,425.45224450000023,347.5119608999994,347.83352729999933,0.2597255000000587,0.2597255000000587,1.3020200000009936,415.74483599999985,[],[],[],[],[],[],415.8614748,415.8832046000007,0.010540000001128647,1.0171918000014557,422.45283949999975,4.0,6.569966700000805,425.45225670000036,0.25127790000078676,0.25127790000078676,1.2831949999999779,487.5977636000007,[],[],[],[],[],[],192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\2 nature\waterfall.mp4,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,487.71464860000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.5515763000003,557.5655098999996,558.5659928000005,558.5659928000005,559.5668372,559.5668372,491.0047551000007,560.5516480000006,490.7005614000009,491.0047551000007,0.24944049999976414,0.24944049999976414,1.2886694999997417,551.6447917999994,[],[],[],[],[],[],551.7621125000005,551.7802871999993,0.006890299999213312,1.016262099999949,557.5514196999993,4.0,5.769033700000364,560.5516587000002,0.25119310000081896,0.25119310000081896,1.2836079000007885,622.596674800001,[],[],[],[],[],[],192176,001,Black,M,34,2024-04-08_13h07.59.594,emotionRecognition,2023.2.3,59.95182271527042,2024-04-08 13h08.33.983606 -0400,
