mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.3878333999999768,,0.1332078000000365,0.3878333999999768,0.3878333999999768,0.3878333999999768,0.3878333999999768,0.3878333999999768,0.3878333999999768,0.3878333999999768,0.3372996000000512,17.35787360000006,[-26.0],[-4.0],[1],[0],[0],[17.019589199999928],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,17.375498900000025,,17.359608800000046,17.375498900000025,17.375498900000025,17.375498900000025,17.375498900000025,17.375498900000025,17.375498900000025,17.375498900000025,0.21381560000008903,19.9432822,[56.0],[-34.0],[1],[0],[0],[2.3697343999999703],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,20.051835400000073,,19.944612300000017,20.051835400000073,20.051835400000073,20.051835400000073,20.051835400000073,20.051835400000073,20.051835400000073,20.051835400000073,0.21422239999992598,24.29609670000002,[683.0],[-22.0],[1],[0],[0],[4.137151700000004],['option3Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,24.40036740000005,,24.297481500000004,24.40036740000005,24.40036740000005,24.40036740000005,24.40036740000005,24.40036740000005,24.40036740000005,24.40036740000005,0.2144728999999188,26.58134419999999,[36.0],[-13.0],[1],[0],[0],[2.0691183999999794],['option2Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.58279170000003,26.613064399999985,1.0144880000000285,67.09322710000004,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.20452190000003,67.20736060000002,5.419999990863289e-05,69.69541079999999,[36.0],[-13.0],[1],[0],[0],[2.4904258000000254],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
0,excited,,,,,,,,,,videos\1 excited\2 sports\NBA.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,69.71172360000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.8704245,145.88399879999997,146.8847492,146.8847492,147.8855092,147.8855092,148.98609080000006,148.86999500000002,72.68091449999997,72.83355960000006,0.0906056000000035,0.0906056000000035,1.124019199999907,142.84896279999998,[],[],[],[],[],[],142.95793320000007,142.98386660000006,0.01149529999997867,1.0248335999999654,145.87019170000008,4.0,2.8906881999999996,148.8700182,0.0720742999999402,0.19934309999996458,1.1000359999999318,210.9323174,[],[],[],[],[],[],580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,211.0527326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.16680870000005,277.18057780000004,278.18132390000005,278.18132390000005,279.1820636,279.1820636,280.4477968,280.1665547,214.03461070000003,214.34226050000007,0.2502604999999676,0.2502604999999676,1.285024099999987,274.4292262,[],[],[],[],[],[],274.54032660000007,274.55991230000006,0.007867400000009184,1.0057852000001049,277.16666010000006,4.0,2.6054915000000847,280.1665664000001,0.23819379999997636,0.23819379999997636,1.2669763000000103,342.3623666,[],[],[],[],[],[],580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,342.48295410000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.88609870000005,416.90003560000014,417.90089579999994,417.90089579999994,418.9016256,418.9016256,420.20272980000004,419.8861208999999,345.46472700000004,345.7504017,0.2248173999998926,0.2248173999998926,1.268211499999893,413.6980952000001,[],[],[],[],[],[],413.8129328,413.8339367000001,0.010038399999984904,1.018941600000062,416.88595269999996,2.0,3.05205490000003,419.88613250000003,0.2725702000000183,0.2725702000000183,1.3005875000001197,481.9482822,[],[],[],[],[],[],580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\2 nature\waterfall.mp4,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,482.06771619999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.8833279,548.8971968000001,549.8979669,549.8979669,550.8986987999999,550.8986987999999,552.1911266,551.8831930000001,485.05075439999996,485.39578759999995,0.27895519999992757,0.27895519999992757,1.3196788000000197,545.8285867,[],[],[],[],[],[],545.9466089,545.9672783999999,0.007347199999912846,1.0157610999999633,548.8831720000001,4.0,2.9156597999999576,551.8832049,0.26507549999996627,0.26507549999996627,1.3004576999999244,614.0454483000001,[],[],[],[],[],[],580357spencer,001,White,M,24,2024-04-09_10h04.12.485,emotionRecognition,2023.2.3,60.02552285232334,2024-04-09 10h04.58.336551 -0400,
