mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.1886794000001828,,0.09615370000028634,0.1886794000001828,0.1886794000001828,0.1886794000001828,0.1886794000001828,0.1886794000001828,0.1886794000001828,0.1886794000001828,0.20941790000142646,6.350961599999209,[-575.0],[-37.0],[1],[0],[0],[6.14088079999965],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,6.363475899999685,,6.353432199999588,6.363475899999685,6.363475899999685,6.363475899999685,6.363475899999685,6.363475899999685,6.363475899999685,6.363475899999685,0.2103756999986217,18.323860200000126,[497.0],[-312.0],[1],[0],[0],[11.75985430000037],['option3Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,18.384240899998986,,18.3249323,18.384240899998986,18.384240899998986,18.384240899998986,18.384240899998986,18.384240899998986,18.384240899998986,18.384240899998986,0.2145357999997941,22.02651589999914,[-439.0],[-50.0],[1],[0],[0],[3.486834799999997],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,22.076712099998986,,22.027588999999352,22.076712099998986,22.076712099998986,22.076712099998986,22.076712099998986,22.076712099998986,22.076712099998986,22.076712099998986,0.21458940000047733,23.9777481000001,[-435.0],[-59.0],[1],[0],[0],[1.735366900000372],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.97875059999933,24.008423699999184,1.0151120999998966,64.4231677000007,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.53172359999917,64.53455749999921,4.8400001105619594e-05,67.21150219999981,[-289.0],[-183.0],[1],[0],[0],[2.67917689999922],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
0,excited,,,,,,,,,,videos\1 excited\1 motorsports\kenMiles.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,67.22531499999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.33366240000032,143.34751779999897,144.34835059999932,144.34835059999932,145.3492215999995,145.3492215999995,146.46322019999934,146.33361309999964,70.21086959999957,70.36764430000039,0.10978249999971013,0.10978249999971013,1.1497780000008788,138.8783284000001,[],[],[],[],[],[],138.98740589999943,139.0125236999993,0.010778300000310992,1.0077760999993188,143.33344339999894,4.0,4.325371200000518,146.3336304000004,0.06974070000069332,0.21691889999965497,1.1169957000001887,208.29620579999937,[],[],[],[],[],[],750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,208.4106044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.2658577000002,277.2796208999989,278.2802606000005,278.2802606000005,279.2808944999997,279.2808944999997,280.5506905000002,280.2657385000002,211.398455999999,211.70590749999974,0.25413040000057663,0.25413040000057663,1.290644999999131,271.7923563000004,[],[],[],[],[],[],271.9043762000001,271.9232348000005,0.007602499999848078,1.005097899998873,277.2657091000001,3.0,5.340551799999957,280.2657517000007,0.2262016999993648,0.2262016999993648,1.2837285000005068,342.4609942999996,[],[],[],[],[],[],750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,342.5680296999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.2687893000002,417.2825584000002,418.2830439999998,418.2830439999998,419.28718579999986,419.27141610000035,420.54500369999914,420.25458459999936,345.5633154999996,345.85407789999954,0.24374770000031276,0.24374770000031276,1.2820780999991257,413.76340589999927,[],[],[],[],[],[],413.8800565999991,413.9003026999999,0.008421700000326382,1.017007399999784,417.26864079999905,4.0,3.3678141000000323,420.2545957000002,0.2189541999996436,0.2189541999996436,1.266609199999948,482.3806069000002,[],[],[],[],[],[],750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\3 general\asmr.mkv,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,482.49582089999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.000245199999,551.0139001000007,551.9996448000002,552.0164748000007,552.9996680000004,552.9996680000004,554.2790562999999,553.9842630000003,485.48341900000014,485.7746802999991,0.25363410000136355,0.25363410000136355,1.273802900001101,546.0439628000004,[],[],[],[],[],[],546.154665099999,546.1720366999998,0.006873199999972712,1.0063246000008803,551.0000932999992,4.0,4.824546899999405,553.9842738999996,0.21802070000012463,0.21802070000012463,1.2668572000002314,616.0121242999994,[],[],[],[],[],[],750667,001,White,Male,24,2024-03-28_12h41.03.692,emotionRecognition,2023.2.3,59.92785884338899,2024-03-28 12h41.35.205949 -0400,
