mainIndex,emotion,image1,text1,stimuli1,image2,text2,stimuli2,image3,text3,stimuli3,stim,neutralvideo,chooseCategoriesLoop.thisRepN,chooseCategoriesLoop.thisTrialN,chooseCategoriesLoop.thisN,chooseCategoriesLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,chooseCategoriesTrial.started,instructions.started,option1Text.started,option1Image.started,option2Text.started,option2Image.started,option3Text.started,option3Image.started,mouse.started,chooseCategoriesTrial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,baseline.started,movie.started,mouse_4.started,baseline.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,clicktoContinue.started,text_click_to_continue.started,mouse_5.started,clicktoContinue.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,countDown.started,Three.started,Two.started,Three.stopped,Two.stopped,One.started,One.stopped,countDown.stopped,playClip.started,stimclip.started,mouse_2.started,eeg_marker_stim_video.started,eeg_marker_stim_video.stopped,playClip.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,positiveNegative.started,agree.started,eeg_marker_rating.started,eeg_marker_rating.stopped,positiveNegative.stopped,agree.response,agree.rt,neutralVideo.started,eeg_marker_neutral_video.started,mouse_3.started,eeg_marker_neutral_video.stopped,neutralVideo.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,Ethnicity,Gender,Age,date,expName,psychopyVersion,frameRate,expStart,
0,1 excited,videos\1 excited\1 motorsports\motorsports.jpg,motorsports,videos\1 excited\1 motorsports\kenMiles.mp4,videos\1 excited\2 sports\sport.jpg,sports,videos\1 excited\2 sports\NBA.mp4,videos\1 excited\3 general\I am not sure.jpg,general,videos\1 excited\3 general\ratatChaseScene.mp4,,,0,0,0,0,,,,,0.23818570000003092,,0.1040322000044398,0.23818570000003092,0.23818570000003092,0.23818570000003092,0.23818570000003092,0.23818570000003092,0.23818570000003092,0.23818570000003092,0.22807089998968877,8.504699600001913,[464.0],[-8.0],[1],[0],[0],[8.275807400001213],['option3Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
3,4 relaxed,None,meditation,videos\4 relaxed\1 meditation\meditation.mp4,None,nature,videos\4 relaxed\2 nature\waterfall.mp4,None,general,videos\4 relaxed\3 general\asmr.mkv,,,0,1,1,1,,,,,8.52010490000248,,8.506020100001479,8.52010490000248,8.52010490000248,8.52010490000248,8.52010490000248,8.52010490000248,8.52010490000248,8.52010490000248,0.21477610000874847,15.210908699998981,[-482.0],[-295.0],[1],[0],[0],[6.489837000000989],['option1Text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
4,5 sad,videos\5 sad\1 animals\cutepets.jpg,animals,videos\5 sad\1 animals\saddogs.mp4,videos\5 sad\2 babies\baby.jpg,babies,videos\5 sad\2 babies\sadBaby1.mp4,videos\5 sad\3 general\notsure.jpg,general,videos\5 sad\3 general\ChampDeath.mp4,,,0,2,2,2,,,,,15.28678929999296,,15.212245300004724,15.28678929999296,15.28678929999296,15.28678929999296,15.28678929999296,15.28678929999296,15.28678929999296,15.28678929999296,0.21340670000063255,18.278345300001092,[-497.0],[-80.0],[1],[0],[0],[2.8525493999914033],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
7,8 angry,videos\8 angry\1 animals\cutepets.jpg,animals,videos\8 angry\1 animals\angrydogs.mp4,videos\8 angry\2 general\notsure.jpg,general,videos\8 angry\2 general\thepiano.mp4,None,,None,,,0,3,3,3,,,,,18.351481199992122,,18.279383200002485,18.351481199992122,18.351481199992122,18.351481199992122,18.351481199992122,18.351481199992122,18.351481199992122,18.351481199992122,0.2151097000023583,21.03086240000266,[-503.0],[-52.0],[1],[0],[0],[2.536171000014292],['option1Image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.031816000002436,21.067001399991568,1.0150479000003543,61.57627360000333,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.69128129999444,61.694350099991425,5.420000525191426e-05,64.14518419999513,[-504.0],[-52.0],[1],[0],[0],[2.453435300005367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
0,excited,,,,,,,,,,videos\1 excited\3 general\ratatChaseScene.mp4,neutral_videos\2BlowingLeafs (1).mp4,,,,,0,0,0,0,64.16151459999674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.63739790000545,141.65134430000035,142.65197629999602,142.65197629999602,143.65295709999918,143.65295709999918,144.75925909999933,144.63735249999445,67.13041460000386,67.25992349999433,0.0707302999944659,0.0707302999944659,1.1024541999940993,135.94749130000127,[],[],[],[],[],[],136.0557017999963,136.0820195999986,0.010722799997893162,1.0088626999931876,141.63717780000297,3.0,5.56130669999402,144.63737240000046,0.07753660000162199,0.20025570000871085,1.1170116000139387,206.61605650000274,[],[],[],[],[],[],687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
1,happy,,,,,,,,,,videos\2 happy\scooby.mp4,neutral_videos\2BlowingLeafs (2).mp4,,,,,0,1,1,1,206.72543130000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.5847563999996,273.59829270000046,274.59891820000485,274.59891820000485,275.59974910000165,275.59974910000165,276.8720328000054,276.58510319999186,209.71891609999875,210.0050237999967,0.2393315000081202,0.2393315000081202,1.2799805999966338,270.0960328999936,[],[],[],[],[],[],270.20130000000063,270.2216703000013,0.00889100000495091,1.0118054000049597,273.5845765999984,4.0,3.362403799997992,276.58511780000117,0.24453540000831708,0.24453540000831708,1.2838970000011614,338.69635019999987,[],[],[],[],[],[],687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
2,motivated,,,,,,,,,,videos\3 motivated\motivationalAuthor.mp4,neutral_videos\3BlowingLeafs.mp4,,,,,0,2,2,2,338.8036957000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.0369292999967,413.0507399000053,414.05125170000247,414.05125170000247,415.05218539999623,415.05218539999623,416.324853099999,416.03664419999404,341.798941999994,342.09904780000215,0.25319149999995716,0.25319149999995716,1.2817721000028541,410.0496192999999,[],[],[],[],[],[],410.1605808000022,410.1800030000013,0.008701900005689822,1.0052455999975791,413.0367761999951,4.0,2.8557153000001563,416.0366559999966,0.245804499994847,0.245804499994847,1.2836341999936849,478.31565409999166,[],[],[],[],[],[],687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
3,relaxed,,,,,,,,,,videos\4 relaxed\1 meditation\meditation.mp4,neutral_videos\4BlowingLeafs.mp4,,,,,0,3,3,3,478.42520359999617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.350059999997,544.3636708999984,545.3645779999933,545.3645779999933,546.3651353000023,546.3651353000023,547.6496970000007,547.3497282000026,481.41786400000274,481.72985229999176,0.2738207000074908,0.2738207000074908,1.2959818000090308,541.6127802999981,[],[],[],[],[],[],541.7180806999968,541.736882600002,0.007632199994986877,1.0110353999916697,544.3499091999984,4.0,2.610456800000975,547.3497397000028,0.2558439999993425,0.2558439999993425,1.3005621999909636,609.5287239000027,[],[],[],[],[],[],687106,001,white,female,23,2024-04-16_12h36.53.276,emotionRecognition,2023.2.3,60.04336331340368,2024-04-16 12h37.38.208292 -0400,
